index,content_type,best_model,base_avg_score,sft_avg_score,grpo_avg_score,base_critique,sft_critique,grpo_critique,base_scores,sft_scores,grpo_scores
40,ecommerce_long_form,B,4.0,5.0,3.0,专业性强，信息清晰,科学严谨，信任感强,信息完整但平淡,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '专业性强，信息清晰'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '科学严谨，信任感强'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '信息完整但平淡'}"
41,paid_ad_cta,C,4.2,4.0,5.0,文案结构清晰，但核心卖点部分略显冗长，影响简洁性。,科学配方描述准确，但开头吸引力不足，CTA较为模板化。,简洁有力，开头极具吸引力，CTA明确且与内容紧密结合。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构清晰，但核心卖点部分略显冗长，影响简洁性。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '科学配方描述准确，但开头吸引力不足，CTA较为模板化。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，开头极具吸引力，CTA明确且与内容紧密结合。'}"
42,paid_ad_pas,B,4.2,5.0,4.2,文案结构完整，但略显冗长，不符合信息流广告的短平快要求。,简洁有力，痛点放大解决结构清晰，CTA明确，适合快速阅读。,文案内容详实，但缺乏明确的行动号召，可能影响转化率。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构完整，但略显冗长，不符合信息流广告的短平快要求。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，痛点放大解决结构清晰，CTA明确，适合快速阅读。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容详实，但缺乏明确的行动号召，可能影响转化率。'}"
43,paid_ad_bab,B,4.0,4.6,4.6,文案内容详尽，但部分描述略显冗长，不够简洁。,文案简洁有力，能迅速抓住注意力，CTA明确。,文案极其简洁，信息高度压缩，完美适配信息流广告。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容详尽，但部分描述略显冗长，不够简洁。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，能迅速抓住注意力，CTA明确。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其简洁，信息高度压缩，完美适配信息流广告。'}"
44,paid_ad_fab,C,3.4,4.6,4.8,文案过于冗长，包含大量不必要的细节，不适合快速浏览的信息流广告。,结构清晰，特点-优势-好处分明，CTA明确且有说服力。,极其精炼，信息高度压缩，完美适配信息流的阅读场景。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案过于冗长，包含大量不必要的细节，不适合快速浏览的信息流广告。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰，特点-优势-好处分明，CTA明确且有说服力。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极其精炼，信息高度压缩，完美适配信息流的阅读场景。'}"
45,social_media_review,C,3.25,1.75,4.5,广告感较重，但信息完整,内容重复冗长，偏离指令,专业且真实，完美契合,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，但信息完整'}","{'score_authenticity_immersion': 2, 'score_value_engagement': 2, 'score_brand_fit': 2, 'score_instruction_following': 1, 'critique': '内容重复冗长，偏离指令'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实，完美契合'}"
46,social_media_educational,B,3.25,5.0,3.75,中规中矩，广告感较重,专业且引人入胜,内容有价值但标签过多,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '中规中矩，广告感较重'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 3, 'critique': '内容有价值但标签过多'}"
47,social_media_myth_busting,C,3.5,4.5,5.0,广告感较重，但品牌契合度不错,专业且真实，品牌契合度高,故事性强，品牌契合完美,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 4, 'critique': '广告感较重，但品牌契合度不错'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事性强，品牌契合完美'}"
48,social_media_storytelling,C,3.25,4.25,4.5,情感真挚但专业感不足,故事生动且专业性强,专业与情感完美平衡,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '情感真挚但专业感不足'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事生动且专业性强'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业与情感完美平衡'}"
49,ecommerce_long_form,B,3.6666666666666665,5.0,3.0,专业性强，信息清晰,全面专业，信任感强,简洁但不够深入,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '专业性强，信息清晰'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '全面专业，信任感强'}","{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '简洁但不够深入'}"
50,paid_ad_cta,A,4.8,4.6,4.0,简洁明了，直接击中目标受众痛点。,科学配方细节展示，增强专业信任感。,描述过于详细，不够简洁。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁明了，直接击中目标受众痛点。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '科学配方细节展示，增强专业信任感。'}","{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '描述过于详细，不够简洁。'}"
51,paid_ad_pas,C,3.4,4.8,5.0,灾难性的冗长，完全不适合作为付费广告,简洁有力，CTA明确且有说服力,极具冲击力，能迅速激发好奇心或击中痛点,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合作为付费广告'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，CTA明确且有说服力'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，能迅速激发好奇心或击中痛点'}"
52,paid_ad_bab,C,3.6,4.6,4.8,文案过于冗长，不符合信息流广告的短平快要求。,文案简洁有力，CTA明确，适合信息流广告。,文案极其精炼，信息高度压缩，完美适配信息流的阅读场景。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案过于冗长，不符合信息流广告的短平快要求。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，CTA明确，适合信息流广告。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其精炼，信息高度压缩，完美适配信息流的阅读场景。'}"
53,paid_ad_fab,B,3.4,4.8,4.6,文案冗长，信息过于分散，不适合快速浏览的信息流广告。,简洁有力，直接击中敏感肌痛点，极具点击吸引力。,科学配方和核心成分的强调符合品牌理念，CTA明确。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案冗长，信息过于分散，不适合快速浏览的信息流广告。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，直接击中敏感肌痛点，极具点击吸引力。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '科学配方和核心成分的强调符合品牌理念，CTA明确。'}"
54,social_media_review,B,3.75,5.0,4.25,产品卖点清晰但故事性不足,真实感强，品牌契合度高,内容实用但缺乏深度,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '产品卖点清晰但故事性不足'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '内容实用但缺乏深度'}"
55,social_media_educational,B,3.25,5.0,4.25,广告感较重，缺乏深度,专业且引人入胜,科学性强，但稍显平淡,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且引人入胜'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学性强，但稍显平淡'}"
56,social_media_myth_busting,C,3.75,4.75,5.0,信息丰富但广告感较重,专业且信息价值高,真实感强且专业,"{'score_authenticity_immersion': 3, 'score_value_engagement': 4, 'score_brand_fit': 3, 'score_instruction_following': 5, 'critique': '信息丰富但广告感较重'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且信息价值高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '真实感强且专业'}"
57,social_media_storytelling,C,3.25,4.5,4.75,故事性一般，广告感较重,专业性强，品牌契合度高,故事引人入胜，互动潜力大,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '故事性一般，广告感较重'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业性强，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '故事引人入胜，互动潜力大'}"
58,ecommerce_long_form,B,3.6666666666666665,5.0,4.0,专业性强，但信任感稍弱,专业、清晰、信任感强,信息清晰，但说服力一般,"{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '专业性强，但信任感稍弱'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业、清晰、信任感强'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息清晰，但说服力一般'}"
59,paid_ad_cta,A,4.8,4.6,4.6,钩子直接击中敏感肌痛点，行动号召明确有力。,创意钩子极具吸引力，但CTA稍显模板化。,科学专业但缺乏情绪冲击力，适合理性消费者。,"{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子直接击中敏感肌痛点，行动号召明确有力。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '创意钩子极具吸引力，但CTA稍显模板化。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 3, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '科学专业但缺乏情绪冲击力，适合理性消费者。'}"
60,paid_ad_pas,B,3.4,4.8,4.8,灾难性的冗长，完全不适合作为付费广告,简洁有力，信息高度压缩，完美适配信息流的阅读场景,极具冲击力，能迅速激发好奇心或击中痛点,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合作为付费广告'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，信息高度压缩，完美适配信息流的阅读场景'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，能迅速激发好奇心或击中痛点'}"
61,paid_ad_bab,C,4.0,4.6,4.8,文案结构完整，但桥梁部分略显冗长，不够简洁。,文案简洁有力，点击吸引力强，但未完全遵循之前-之后-桥梁的结构。,文案简洁且结构清晰，点击吸引力强，完美遵循指令。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构完整，但桥梁部分略显冗长，不够简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案简洁有力，点击吸引力强，但未完全遵循之前-之后-桥梁的结构。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁且结构清晰，点击吸引力强，完美遵循指令。'}"
62,paid_ad_fab,B,4.2,4.8,4.2,文案内容丰富，但略显冗长，适合深度阅读但不符合信息流广告的短平快要求。,简洁有力，开头即抓住敏感肌用户的痛点，信息高度压缩且吸引力强。,文案温和专业，但缺乏强烈的行动号召，吸引力稍逊于模型B。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容丰富，但略显冗长，适合深度阅读但不符合信息流广告的短平快要求。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，开头即抓住敏感肌用户的痛点，信息高度压缩且吸引力强。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案温和专业，但缺乏强烈的行动号召，吸引力稍逊于模型B。'}"
63,social_media_review,C,3.25,4.25,5.0,广告感较重，缺乏深度,科学感强，真实可信,情感真挚，专业性强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学感强，真实可信'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '情感真挚，专业性强'}"
64,social_media_educational,C,3.25,4.25,5.0,产品卖点清晰但故事性不足,科普性强，专业与故事结合,深度科普，完美契合品牌理念,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '产品卖点清晰但故事性不足'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科普性强，专业与故事结合'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '深度科普，完美契合品牌理念'}"
65,social_media_storytelling,C,3.25,4.25,5.0,广告感较重，故事性一般,情感真挚，品牌契合度高,专业且真实，完美契合品牌,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，故事性一般'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '专业且真实，完美契合品牌'}"
66,ecommerce_long_form,B,3.0,5.0,4.0,基本专业但缺乏深度,专业性强，信任感高,信息清晰但略显常规,"{'score_professionalism_persuasion': 3, 'score_clarity_value': 3, 'score_trust_building': 3, 'critique': '基本专业但缺乏深度'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业性强，信任感高'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '信息清晰但略显常规'}"
67,paid_ad_cta,B,4.2,4.8,4.2,文案内容全面但略显冗长，适合详细阅读但不完全符合信息流广告的快速浏览特性。,文案简洁有力，直接击中目标用户的痛点，CTA明确且具有吸引力。,文案极其简洁，但钩子和利益点的吸引力略显不足，CTA较为普通。,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容全面但略显冗长，适合详细阅读但不完全符合信息流广告的快速浏览特性。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，直接击中目标用户的痛点，CTA明确且具有吸引力。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极其简洁，但钩子和利益点的吸引力略显不足，CTA较为普通。'}"
68,paid_ad_pas,B,3.4,5.0,4.8,灾难性的冗长，完全不适合作为付费广告,极具冲击力，能迅速激发好奇心或击中痛点,简洁有力，但开头吸引力略逊于模型B,"{'score_suitability_brevity': 1, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '灾难性的冗长，完全不适合作为付费广告'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '极具冲击力，能迅速激发好奇心或击中痛点'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，但开头吸引力略逊于模型B'}"
69,paid_ad_bab,B,4.2,5.0,4.0,结构清晰，但略显冗长,简洁有力，点击吸引力强,信息准确但缺乏亮点,"{'score_suitability_brevity': 3, 'score_click_appeal': 4, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '结构清晰，但略显冗长'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，点击吸引力强'}","{'score_suitability_brevity': 4, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '信息准确但缺乏亮点'}"
70,paid_ad_fab,C,4.0,3.4,5.0,文案内容全面但略显冗长，CTA明确但吸引力一般。,包含不准确信息（90%透明质酸精华），吸引力较强但冗长。,简洁有力，信息高度压缩，完美适配信息流广告。,"{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案内容全面但略显冗长，CTA明确但吸引力一般。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 4, 'score_instruction_following': 4, 'critique': '包含不准确信息（90%透明质酸精华），吸引力较强但冗长。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '简洁有力，信息高度压缩，完美适配信息流广告。'}"
71,social_media_review,C,4.25,3.25,5.0,情感真挚，成分介绍详细,内容中规中矩，缺乏亮点,故事引人入胜，品牌契合度高,"{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，成分介绍详细'}","{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '内容中规中矩，缺乏亮点'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事引人入胜，品牌契合度高'}"
72,social_media_educational,B,3.25,4.75,4.25,广告感较重，缺乏深度,科学性强，品牌契合度高,科学配方，精准定位,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学性强，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '科学配方，精准定位'}"
73,social_media_myth_busting,B,3.25,4.5,4.5,广告感较重，缺乏深度,科学精准，品牌契合度高,信息丰富，互动潜力强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '广告感较重，缺乏深度'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '科学精准，品牌契合度高'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 5, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '信息丰富，互动潜力强'}"
74,social_media_storytelling,C,3.25,4.25,5.0,故事性一般，广告感较重,情感真挚，品牌契合度高,故事引人入胜，专业性强,"{'score_authenticity_immersion': 3, 'score_value_engagement': 3, 'score_brand_fit': 3, 'score_instruction_following': 4, 'critique': '故事性一般，广告感较重'}","{'score_authenticity_immersion': 4, 'score_value_engagement': 4, 'score_brand_fit': 4, 'score_instruction_following': 5, 'critique': '情感真挚，品牌契合度高'}","{'score_authenticity_immersion': 5, 'score_value_engagement': 5, 'score_brand_fit': 5, 'score_instruction_following': 5, 'critique': '故事引人入胜，专业性强'}"
75,ecommerce_long_form,C,3.3333333333333335,4.0,5.0,专业但说服力一般,清晰且具说服力,专业、清晰、可信,"{'score_professionalism_persuasion': 3, 'score_clarity_value': 4, 'score_trust_building': 3, 'critique': '专业但说服力一般'}","{'score_professionalism_persuasion': 4, 'score_clarity_value': 4, 'score_trust_building': 4, 'critique': '清晰且具说服力'}","{'score_professionalism_persuasion': 5, 'score_clarity_value': 5, 'score_trust_building': 5, 'critique': '专业、清晰、可信'}"
76,paid_ad_cta,B,4.0,5.0,3.4,文案结构完整但略显冗长，利益点部分可以更简洁。,钩子极具冲击力，简洁有力，完美符合信息流广告的要求。,文案开头过于复杂，不符合短平快的广告要求。,"{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案结构完整但略显冗长，利益点部分可以更简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '钩子极具冲击力，简洁有力，完美符合信息流广告的要求。'}","{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 4, 'critique': '文案开头过于复杂，不符合短平快的广告要求。'}"
77,paid_ad_pas,C,3.8,4.4,4.8,文案过于冗长，不符合付费广告的简洁性要求。,文案简洁有力，但CTA略显模板化。,文案极具吸引力，CTA明确且有说服力。,"{'score_suitability_brevity': 2, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案过于冗长，不符合付费广告的简洁性要求。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 4, 'score_cta_effectiveness': 3, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案简洁有力，但CTA略显模板化。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案极具吸引力，CTA明确且有说服力。'}"
78,paid_ad_bab,B,4.0,4.6,4.6,文案遵循了之前-之后-桥梁风格，但略显冗长，不够简洁。,文案简洁有力，极具点击吸引力，但未完全遵循之前-之后-桥梁风格。,文案完美遵循了之前-之后-桥梁风格，且信息准确，但吸引力稍逊于模型B。,"{'score_suitability_brevity': 3, 'score_click_appeal': 3, 'score_cta_effectiveness': 4, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案遵循了之前-之后-桥梁风格，但略显冗长，不够简洁。'}","{'score_suitability_brevity': 5, 'score_click_appeal': 5, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 3, 'critique': '文案简洁有力，极具点击吸引力，但未完全遵循之前-之后-桥梁风格。'}","{'score_suitability_brevity': 4, 'score_click_appeal': 4, 'score_cta_effectiveness': 5, 'score_factual_accuracy': 5, 'score_instruction_following': 5, 'critique': '文案完美遵循了之前-之后-桥梁风格，且信息准确，但吸引力稍逊于模型B。'}"
